frameCounter, trackingStatus, timeLogged, frameNumber
2,2,14369.7742, 3738
3,2,14369.7910, 3739
4,2,14369.8062, 3740
5,2,14369.8217, 3741
6,2,14369.8381, 3742
7,2,14369.8538, 3743
8,2,14369.8710, 3744
9,2,14369.8857, 3745
10,2,14369.9031, 3746
11,2,14369.9181, 3747
12,2,14369.9339, 3748
13,2,14369.9506, 3749
14,2,14369.9820, 3750
15,2,14369.9980, 3751
16,2,14370.0141, 3752
17,2,14370.0311, 3753
18,2,14370.0475, 3754
19,2,14370.0636, 3755
20,2,14370.0786, 3756
21,2,14370.0950, 3757
22,2,14370.1117, 3758
23,2,14370.1275, 3759
24,2,14370.1424, 3760
25,2,14370.1587, 3761
26,2,14370.1743, 3762
27,2,14370.1928, 3763
28,2,14370.2059, 3764
29,2,14370.2221, 3765
30,2,14370.2382, 3766
31,2,14370.2540, 3767
32,2,14370.2700, 3768
33,2,14370.2865, 3769
34,2,14370.3021, 3770
35,2,14370.3194, 3771
36,2,14370.3339, 3772
37,2,14370.3665, 3773
38,2,14370.3823, 3774
39,2,14370.3995, 3775
40,2,14370.4143, 3776
41,2,14370.4318, 3777
42,2,14370.4463, 3778
43,2,14370.4621, 3779
44,2,14370.4782, 3780
45,2,14370.4951, 3781
46,2,14370.5101, 3782
47,2,14370.5271, 3783
48,2,14370.5430, 3784
49,2,14370.5584, 3785
50,2,14370.5741, 3786
51,2,14370.5901, 3787
52,2,14370.6067, 3788
53,2,14370.6237, 3789
54,2,14370.6382, 3790
55,2,14370.6545, 3791
56,2,14370.6703, 3792
57,2,14370.6861, 3793
58,2,14370.7035, 3794
59,2,14370.7180, 3795
60,2,14370.7354, 3796
61,2,14370.7700, 3797
62,2,14370.7834, 3798
63,2,14370.8013, 3799
64,2,14370.8155, 3800
65,2,14370.8323, 3801
66,2,14370.8473, 3802
67,2,14370.8623, 3803
68,2,14370.8781, 3804
69,2,14370.8940, 3805
70,2,14370.9114, 3806
71,2,14370.9263, 3807
72,2,14370.9424, 3808
73,2,14370.9587, 3809
74,2,14370.9748, 3810
75,2,14370.9901, 3811
76,2,14371.0067, 3812
77,2,14371.0225, 3813
78,2,14371.0382, 3814
79,2,14371.0542, 3815
80,2,14371.0701, 3816
81,2,14371.0870, 3817
82,2,14371.1026, 3818
83,2,14371.1186, 3819
84,2,14371.1500, 3820
85,2,14371.1674, 3821
86,2,14371.1820, 3822
87,2,14371.1986, 3823
88,2,14371.2141, 3824
89,2,14371.2306, 3825
90,2,14371.2464, 3826
91,2,14371.2622, 3827
92,2,14371.2784, 3828
93,2,14371.2941, 3829
94,2,14371.3097, 3830
95,2,14371.3268, 3831
96,2,14371.3424, 3832
97,2,14371.3583, 3833
98,2,14371.3749, 3834
99,2,14371.3921, 3835
100,2,14371.4063, 3836
101,2,14371.4221, 3837
102,2,14371.4384, 3838
103,2,14371.4541, 3839
104,2,14371.4703, 3840
105,2,14371.4865, 3841
106,2,14371.5021, 3842
107,2,14371.5198, 3843
108,2,14371.5503, 3844
109,2,14371.5662, 3845
110,2,14371.5839, 3846
111,2,14371.5991, 3847
112,2,14371.6156, 3848
113,2,14371.6312, 3849
114,2,14371.6460, 3850
115,2,14371.6617, 3851
116,2,14371.6780, 3852
117,2,14371.6940, 3853
118,2,14371.7101, 3854
119,2,14371.7260, 3855
120,2,14371.7440, 3856
121,2,14371.7579, 3857
122,2,14371.7752, 3858
123,2,14371.7899, 3859
124,2,14371.8059, 3860
125,2,14371.8218, 3861
126,2,14371.8379, 3862
127,2,14371.8543, 3863
128,2,14371.8702, 3864
129,2,14371.8860, 3865
130,2,14371.9023, 3866
131,2,14371.9345, 3867
132,2,14371.9510, 3868
133,2,14371.9663, 3869
134,2,14371.9821, 3870
